var_dist_const_reader_false	var_dist_fdistmap_const_neq
fdistmap_supp	fdistmap_neq0_codom
fc_sigma_pow5	fc_sigma_pow5_eq1
fc_rot_pow_faithful	fc_sigma_pow_point_inj
fc_rot_point_inj	fc_sigma_pow_ord_inj
fc_word_eval_pow	fc_kim_word_eval_powE
rho_words_rot_supp	fc_kim_rho_supp_pow
five_card_ideal_distE	-
five_card_ideal_rot_supp	five_card_ideal_supp_pow
kim_single_rot_supp	kim_single_cut_supp_pow
kim_centi_rot_supp	kim_centi_cut_supp_pow
five_card_sc_close	five_card_cut_mixing
five_card_sc_close_of_rot_supp	five_card_cut_mixing_of_supp_pow
kim_centi_sc_close	kim_centi_cut_mixing
five_card_biased_sc_b	kim_biased_marginal_bound
kim_biased_sc_close	kim_biased_cut_mixing
five_card_biased_epsE	kim_biased_epsE
five_card_biased_exact_le_eps	kim_biased_exact_le_eps
fc_arrange_count	fc_arrange_countE
den_boer_layout_law	den_boer_layout_law_const
five_card_sc_const	five_card_static_obs_const
five_card_biased_sc_Hd	kim_biased_sample_cut_witnessE
kim_row_repeated_spectral	five_card_row_repeated_spectral_tableau
kim_row_biased_spectral	five_card_row_biased_ideal_tableau
kim_row_biased_spectral_static	-
kim_row_biased_static_rowE	-
kim_row_biased_rowE_bad	five_card_row_biased_ideal_rowE
kim_row_repeated_rowE_bad	five_card_row_repeated_spectral_rowE
kim_row_repeated_published_fields	five_card_row_repeated_spectral_publishedE
kim_centi_bound40	kim_centi_marginal_bound40
kim_centi40_sc_close	kim_centi_cut_mixing40
kim_reprice39	five_card_reprice39
kim_row_repeated39	five_card_row_repeated39
kim_row_repeated39_bare	five_card_row_repeated39_bare
kim_one_cut_le	kim_one_cut_centi_le
kim_biased_bound50	kim_biased_marginal_bound_exact
kim_biased50_sc_close	kim_biased_cut_mixing_exact
kim_biased_cert50	kim_biased_cert_exact
fifty_split	five_card_inv50_split
kim_reprice25	five_card_reprice_inv25
kim_row_biased25	five_card_row_biased_inv25
kim_row_biased25_rowE	five_card_row_biased_inv25_rowE
kim_reprice25_lt2	five_card_reprice_inv25_lt2
